,stop_name,next_stop_name,Unnamed: 0,trip_id,stop_id,stop_sequence,route_short_name,next_stop_id,totalTripTime,osm_distance,OriginLat,OriginLon,DestLat,DestLon
168,Bondorf(b Herrenberg),Ergenzingen,39940,79678,358550,4,IC 87,640560.0,94.0,5.974955577880717,48.52328,8.827735,48.489243,8.809751
169,Bondorf(b Herrenberg),Eutingen im Gäu,39603,247965,358550,4,IC 87,400850.0,119.0,7.204615666489185,48.52328,8.827735,48.479736,8.782361
170,Bondorf(b Herrenberg),Gäufelden,39594,245,8955,8,IC 87,455718.0,118.0,8.002143640473012,48.52329,8.827852,48.559704,8.850157
171,Bondorf(b Herrenberg),Horb,39780,5139,358550,3,IC 87,132445.0,98.0,16.858885398466516,48.52328,8.827735,48.441597,8.688775
172,Bonn Hbf,Koblenz Hbf,30807,58231,89956,20,IC 55,333033.0,585.0,59.040278698176,50.731834,7.097284,50.35093,7.588345
173,Bonn Hbf,Köln Hbf,1181,64738,378779,10,ICE 39,440409.0,612.0,33.23060469229649,50.731956,7.097364,50.9433,6.958485
174,Bonn Hbf,Remagen,30424,448212,89956,20,IC 55,643257.0,439.0,20.669768506090467,50.731834,7.097284,50.577213,7.229779
175,Bonn-Beuel,Koblenz Hbf,30295,41213,345578,11,IC 55,333033.0,407.0,60.005833791902255,50.738205,7.127862,50.35093,7.588345
176,Bonn-Beuel,Köln Hbf,31194,785341,536100,6,IC 55,125814.0,246.0,48.38545290512119,50.737896,7.12815,50.94303,6.958729
177,Bonn-Beuel,Köln Messe/Deutz Gl.11-12,31091,76081,536100,1,IC 55,427014.0,233.0,30.40036501467555,50.737896,7.12815,50.9416,6.973954
178,Bonn-Beuel,Mainz Hbf,41113,23495,345578,6,EC 43,149884.0,351.0,151.5815829989208,50.738205,7.127862,50.001118,8.25872
179,Bonn-Beuel,Solingen Hbf,29878,179610,536100,5,IC 55,117724.0,277.0,53.4057445707918,50.737896,7.12815,51.161083,7.004119
180,Boppard Hbf,Koblenz Hbf,30138,334767,117790,3,IC 55,333033.0,511.0,19.70535189863492,50.231415,7.586102,50.35093,7.588345
181,Brandenburg Hbf,Braunschweig Hbf,26300,251166,107204,5,ICE 43,331031.0,461.0,164.32146945295938,52.400276,12.565075,52.25227,10.54085
182,Brandenburg Hbf,Magdeburg Hbf,27229,89188,107204,5,ICE 43,105607.0,534.0,81.3696954032589,52.400276,12.565075,52.130512,11.626963
183,Brandenburg Hbf,Potsdam Hbf,19795,12722,298413,19,IC 56,166464.0,349.0,35.0519709153609,52.40021,12.565134,52.391422,13.066721
184,Braunschweig Hbf,Brandenburg Hbf,26845,641518,406072,16,ICE 43,298413.0,455.0,164.58896642130836,52.25223,10.540921,52.40021,12.565134
185,Braunschweig Hbf,Hannover Hbf,20747,4822,331031,7,IC 56,43645.0,372.0,61.61638315919157,52.25227,10.54085,52.377613,9.741834
186,Braunschweig Hbf,Hannover-Linden/Fischerhof,20540,3827,331031,5,IC 56,594545.0,304.0,64.03721142629193,52.25227,10.54085,52.352795,9.722646
187,Braunschweig Hbf,Helmstedt,20685,4360,406072,17,IC 56,242101.0,333.0,36.08132021685108,52.25223,10.540921,52.22181,11.010192
188,Braunschweig Hbf,Hildesheim Hbf,3545,20163,331031,4,ICE 12,60578.0,371.0,42.83072302450309,52.25227,10.54085,52.160275,9.952633
189,Braunschweig Hbf,Magdeburg Hbf,31824,98589,406072,14,IC 55,105607.0,470.0,83.42178014369932,52.25223,10.540921,52.130512,11.626963
190,Braunschweig Hbf,Peine,20290,198641,331031,2,IC 56,609551.0,239.0,26.032005761353933,52.25227,10.54085,52.31896,10.232197
